hotel,meal,total_night_booked,market_segment,revenue
City Hotel,HB,10,Online TA,5193
City Hotel,BB,27,Online TA,5192
City Hotel,BB,1,Aviation,5174
City Hotel,SC,3,Offline TA/TO,5172
Resort Hotel,FB,11,Offline TA/TO,5163
Resort Hotel,Undefined,7,Online TA,5147
City Hotel,HB,10,Online TA,5098
Resort Hotel,BB,19,Online TA,5073
City Hotel,SC,22,Online TA,5059
Resort Hotel,Undefined,10,Offline TA/TO,4967
Resort Hotel,Undefined,3,Groups,4954
City Hotel,HB,4,Groups,4868
City Hotel,BB,3,Aviation,4842
City Hotel,BB,20,Online TA,4839
City Hotel,BB,10,Direct,4830
Resort Hotel,FB,9,Offline TA/TO,4828
City Hotel,BB,29,Online TA,4809
City Hotel,BB,9,Offline TA/TO,4806
City Hotel,BB,5,Aviation,4735
City Hotel,HB,2,Direct,4698
City Hotel,SC,16,Online TA,4696
Resort Hotel,BB,13,Offline TA/TO,4687
Resort Hotel,HB,16,Offline TA/TO,4678
City Hotel,BB,3,Aviation,4629
Resort Hotel,BB,15,Offline TA/TO,4627
Resort Hotel,FB,4,Direct,4623
Resort Hotel,Undefined,2,Groups,4614
Resort Hotel,Undefined,10,Offline TA/TO,4574
Resort Hotel,BB,28,Offline TA/TO,4544
City Hotel,SC,3,Direct,4541
City Hotel,SC,3,Direct,4512
Resort Hotel,BB,4,Corporate,4497
Resort Hotel,HB,6,Groups,4491
City Hotel,BB,19,Online TA,4457
City Hotel,SC,1,Offline TA/TO,4449
Resort Hotel,HB,21,Online TA,4446
City Hotel,BB,12,Direct,4438
City Hotel,BB,14,Aviation,4410
City Hotel,BB,13,Aviation,4407
City Hotel,SC,30,Online TA,4406
City Hotel,HB,9,Online TA,4396
City Hotel,HB,9,Online TA,4373
Resort Hotel,BB,16,Direct,4373
City Hotel,BB,6,Corporate,4368
City Hotel,SC,2,Offline TA/TO,4351
City Hotel,BB,11,Aviation,4345
City Hotel,BB,5,Groups,4325
City Hotel,BB,25,Online TA,4285
Resort Hotel,BB,1,Groups,4251
City Hotel,BB,14,Offline TA/TO,4216
City Hotel,SC,9,Online TA,4211
City Hotel,BB,30,Online TA,4200
Resort Hotel,Undefined,6,Offline TA/TO,4193
Resort Hotel,Undefined,5,Direct,4157
Resort Hotel,HB,1,Online TA,4101
City Hotel,HB,1,Groups,3994
Resort Hotel,FB,5,Direct,3993
City Hotel,SC,15,Online TA,3965
Resort Hotel,HB,16,Groups,3949
City Hotel,SC,3,Offline TA/TO,3945
Resort Hotel,Undefined,8,Corporate,3920
City Hotel,BB,23,Corporate,3910
Resort Hotel,HB,30,Online TA,3900
Resort Hotel,FB,5,Offline TA/TO,3897
Resort Hotel,BB,2,Groups,3874
Resort Hotel,HB,19,Online TA,3859
Resort Hotel,Undefined,8,Offline TA/TO,3853
City Hotel,BB,17,Online TA,3791
City Hotel,SC,6,Direct,3780
City Hotel,BB,4,Aviation,3776
Resort Hotel,BB,5,Corporate,3711
Resort Hotel,HB,9,Groups,3662
Resort Hotel,FB,9,Direct,3659
Resort Hotel,Undefined,10,Offline TA/TO,3647
Resort Hotel,BB,19,Online TA,3629
Resort Hotel,HB,12,Offline TA/TO,3620
Resort Hotel,BB,12,Direct,3606
City Hotel,SC,14,Direct,3581
Resort Hotel,BB,22,Corporate,3577
City Hotel,HB,8,Direct,3567
Resort Hotel,FB,5,Direct,3559
Resort Hotel,HB,18,Online TA,3528
City Hotel,SC,11,Online TA,3516
City Hotel,SC,4,Offline TA/TO,3467
Resort Hotel,BB,10,Corporate,3460
City Hotel,SC,7,Direct,3456
Resort Hotel,HB,30,Direct,3450
Resort Hotel,FB,3,Online TA,3439
City Hotel,HB,3,Groups,3435
City Hotel,HB,5,Offline TA/TO,3419
Resort Hotel,BB,9,Groups,3418
City Hotel,HB,10,Direct,3401
Resort Hotel,BB,10,Corporate,3370
City Hotel,SC,18,Online TA,3357
City Hotel,SC,4,Direct,3350
Resort Hotel,FB,10,Offline TA/TO,3340
Resort Hotel,BB,19,Offline TA/TO,3336
City Hotel,BB,26,Online TA,3328
Resort Hotel,BB,23,Groups,3312
Resort Hotel,BB,3,Groups,3301
Resort Hotel,FB,14,Online TA,3278
City Hotel,SC,19,Online TA,3276
Resort Hotel,Undefined,21,Offline TA/TO,3251
City Hotel,BB,8,Corporate,3230
Resort Hotel,FB,4,Corporate,3224
Resort Hotel,BB,10,Corporate,3218
City Hotel,HB,1,Online TA,3218
City Hotel,BB,18,Direct,3204
Resort Hotel,HB,7,Corporate,3199
City Hotel,BB,6,Groups,3198
Resort Hotel,Undefined,5,Offline TA/TO,3189
City Hotel,BB,26,Online TA,3188
City Hotel,BB,16,Online TA,3173
City Hotel,HB,2,Direct,3171
City Hotel,BB,34,Corporate,3162
City Hotel,SC,21,Online TA,3160
City Hotel,BB,30,Direct,3150
Resort Hotel,BB,22,Direct,3145
Resort Hotel,BB,2,Groups,3138
City Hotel,BB,3,Aviation,3105
City Hotel,HB,16,Online TA,3105
Resort Hotel,FB,13,Online TA,3089
City Hotel,BB,11,Offline TA/TO,3065
City Hotel,SC,2,Direct,3037
Resort Hotel,HB,5,Groups,3035
Resort Hotel,HB,13,Offline TA/TO,3035
Resort Hotel,Undefined,4,Direct,3034
City Hotel,HB,3,Groups,3030
Resort Hotel,HB,5,Groups,3015
City Hotel,SC,5,Direct,3015
City Hotel,BB,12,Offline TA/TO,3004
City Hotel,SC,2,Offline TA/TO,2949
City Hotel,HB,16,Online TA,2949
Resort Hotel,BB,9,Corporate,2949
Resort Hotel,FB,10,Online TA,2945
City Hotel,SC,4,Direct,2926
Resort Hotel,FB,10,Direct,2899
City Hotel,HB,10,Direct,2880
City Hotel,BB,7,Aviation,2870
City Hotel,HB,5,Direct,2867
Resort Hotel,Undefined,12,Direct,2864
Resort Hotel,FB,4,Online TA,2842
Resort Hotel,FB,3,Offline TA/TO,2839
Resort Hotel,Undefined,11,Offline TA/TO,2835
City Hotel,SC,13,Online TA,2810
Resort Hotel,BB,2,Offline TA/TO,2803
City Hotel,HB,8,Direct,2802
Resort Hotel,FB,8,Direct,2776
Resort Hotel,BB,35,Offline TA/TO,2765
Resort Hotel,HB,35,Offline TA/TO,2762
City Hotel,BB,21,Corporate,2730
Resort Hotel,BB,28,Direct,2725
Resort Hotel,FB,5,Online TA,2710
Resort Hotel,BB,12,Direct,2682
Resort Hotel,Undefined,12,Groups,2640
City Hotel,SC,30,Online TA,2640
City Hotel,BB,9,Direct,2611
City Hotel,SC,6,Offline TA/TO,2591
City Hotel,HB,19,Online TA,2584
Resort Hotel,FB,8,Offline TA/TO,2559
City Hotel,BB,24,Corporate,2544
Resort Hotel,BB,33,Corporate,2541
Resort Hotel,FB,7,Groups,2541
City Hotel,BB,5,Corporate,2535
Resort Hotel,Undefined,9,Direct,2529
Resort Hotel,HB,10,Groups,2485
Resort Hotel,HB,2,Direct,2481
Resort Hotel,Undefined,2,Direct,2453
Resort Hotel,FB,10,Online TA,2453
Resort Hotel,FB,4,Offline TA/TO,2430
City Hotel,SC,13,Online TA,2426
City Hotel,BB,19,Online TA,2423
Resort Hotel,BB,15,Corporate,2421
Resort Hotel,BB,11,Corporate,2404
City Hotel,BB,16,Direct,2400
City Hotel,SC,12,Online TA,2384
City Hotel,HB,6,Groups,2370
Resort Hotel,FB,3,Offline TA/TO,2362
Resort Hotel,Undefined,9,Groups,2358
Resort Hotel,HB,4,Corporate,2354
Resort Hotel,FB,5,Online TA,2347
City Hotel,BB,6,Corporate,2330
Resort Hotel,BB,3,Groups,2328
Resort Hotel,BB,15,Direct,2325
City Hotel,SC,12,Online TA,2323
City Hotel,BB,2,Aviation,2322
Resort Hotel,HB,28,Online TA,2318
City Hotel,SC,5,Offline TA/TO,2315
City Hotel,BB,10,Direct,2307
City Hotel,SC,15,Online TA,2297
Resort Hotel,HB,12,Online TA,2274
Resort Hotel,BB,3,Corporate,2272
Resort Hotel,BB,30,Online TA,2262
Resort Hotel,BB,6,Corporate,2246
